Temperature (K),Applied field (T),Applied field angle (°),Critical current (A)
70.002,2,110,13.6454
70,2,115,13.8663
70.001,2,120,13.8931
69.996,2,125,13.7647
69.999,2,130,13.623
69.999,2,135,13.4024
69.996,2,140,13.1777
69.999,2,145,12.9557
69.996,2,150,12.8277
69.997,2,155,12.6468
70.001,2,160,12.5648
69.997,2,165,12.4471
70,2,170,12.4252
69.994,2,175,12.3813
70.001,2,178,12.4213
70.003,2,180,12.4021
70.006,2,182,12.3833
70.004,2,185,12.4243
69.999,2,190,12.4549
69.998,2,195,12.5715
70.007,2,200,12.7048
70.001,2,205,12.8496
69.998,2,210,13.0459
69.994,2,215,13.1956
69.998,2,220,13.3638
69.994,2,225,13.5076
70.004,2,230,13.6119
69.995,2,235,13.5776
70.003,2,240,13.3169
70.001,3,-5,7.8112
69.999,3,-2,7.7911
70.001,3,0,7.8011
69.999,3,2,7.8153
70,3,5,7.8361
70.001,3,10,7.8652
69.996,3,15,7.9551
69.998,3,20,8.0783
70.002,3,25,8.2572
69.999,3,30,8.464
69.996,3,35,8.6743
69.997,3,40,8.9025
69.998,3,45,9.1246
69.997,3,50,9.3152
70.002,3,55,9.4763
70.001,3,60,9.4418
70.001,3,65,9.2095
69.999,3,70,8.781
70.003,3,75,8.0999
69.998,3,77,7.8836
70.002,3,79,7.7231
70.002,3,81,7.8064
69.998,3,83,8.3204
70.001,3,85,9.5102
70.002,3,86,9.4486
69.998,3,87,8.9864
69.999,3,88,8.5509
69.998,3,89,8.2558
70.001,3,90,8.1489
70,3,91,8.0715
69.999,3,92,8.0959
69.999,3,93,8.1509
69.997,3,94,8.2362
70.001,3,95,8.3431
69.994,3,97,8.6091
70,3,99,8.8901
70.003,3,101,9.1032
70.005,3,103,9.3052
70.007,3,105,9.5088
70.005,3,110,9.6976
70.006,3,115,9.6919
70.001,3,120,9.5633
70,3,125,9.3372
70,3,130,9.0454
69.993,3,135,8.7946
70.001,3,140,8.5684
70,3,145,8.3451
69.997,3,150,8.1572
70.004,3,155,7.9904
69.999,3,160,7.9118
69.998,3,165,7.7614
70,3,170,7.8046
69.998,3,175,7.7934
69.996,3,178,7.824
69.999,3,180,7.7931
69.997,3,182,7.837
69.999,3,185,7.8055
70.004,3,190,7.8601
70.006,3,195,7.9887
70.001,3,200,8.1011
69.999,3,205,8.2325
70.001,3,210,8.4519
69.997,3,215,8.7175
69.998,3,220,8.9423
70.001,3,225,9.1479
69.992,3,230,9.3112
69.994,3,235,9.4252
70.005,3,240,9.4962
70.001,5,-5,3.4239
70.002,5,-2,3.4243
70,5,0,3.4091
70.003,5,2,3.4079
70.002,5,5,3.4209
70.002,5,10,3.4345
69.996,5,15,3.5054
69.996,5,20,3.5945
69.996,5,25,3.749
70,5,30,3.9196
69.998,5,35,4.1258
70,5,40,4.3749
69.999,5,45,4.6345
70.002,5,50,4.9001
69.999,5,55,5.1481
70,5,60,5.3526
70.001,5,65,5.4218
70.005,5,70,5.294
70.003,5,75,4.9745
69.997,5,77,4.8362
69.997,5,79,4.7634
70.001,5,81,4.8217
70,5,83,5.2884
70.001,5,85,6.6361
70.002,5,86,6.5427
69.998,5,87,5.8699
69.999,5,88,5.4287
70,5,89,5.1558
70.004,5,90,5.0214
70,5,91,4.9722
70.001,5,92,4.963
70.001,5,93,4.9865
69.999,5,94,5.0471
70,5,95,5.1046
70.001,5,97,5.248
69.994,5,99,5.3909
69.998,5,101,5.4981
70,5,103,5.5768
69.997,5,105,5.584
70.005,5,110,5.5254
70.008,5,115,5.2931
70.003,5,120,5.0417
70.002,5,125,4.7548
70,5,130,4.4704
70,5,135,4.2221
69.996,5,140,3.9512
70.006,5,145,3.7812
70.004,5,150,3.592
70.003,5,155,3.5102
69.995,5,160,3.4518
70,5,165,3.4159
69.996,5,170,3.3936
70.001,5,175,3.4366
69.993,5,178,3.4395
69.999,5,180,3.4174
69.998,5,182,3.4061
70,5,185,3.4098
70.004,5,190,3.4328
70.006,5,195,3.5091
70.003,5,200,3.6314
70.005,5,205,3.7283
70.003,5,210,3.9101
70.002,5,215,4.0894
69.998,5,220,4.3737
69.996,5,225,4.6513
69.999,5,230,4.9122
70.004,5,235,5.1785
69.994,5,240,5.3802
69.995,8,-5,0.8942
69.997,8,-2,0.8919
70,8,0,0.8818
70.001,8,2,0.8672
70.005,8,5,0.8716
69.999,8,10,0.8665
70,8,15,0.899
70.002,8,20,0.9681
70,8,25,1.057
69.992,8,30,1.1726
69.992,8,35,1.3351
70,8,40,1.5277
70.001,8,45,1.7659
70,8,50,2.0133
70.003,8,55,2.2898
70,8,60,2.5599
70.003,8,65,2.7918
70.003,8,70,2.9096
69.998,8,75,2.8613
70.002,8,77,2.8261
70.002,8,79,2.8152
69.998,8,81,2.9034
70.001,8,83,3.2702
70.001,8,85,4.6551
70,8,86,4.5091
70.002,8,87,3.7587
70.001,8,88,3.345
70.002,8,89,3.1296
69.996,8,90,3.0158
70.001,8,91,2.9499
70.002,8,92,2.9215
70,8,93,2.9394
70,8,94,2.9477
70,8,95,2.9683
70.002,8,97,2.9924
70,8,99,3.0241
69.998,8,101,3.0125
69.998,8,103,2.9794
69.999,8,105,2.9174
69.998,8,110,2.675
70.003,8,115,2.4
69.999,8,120,2.1101
70.002,8,125,1.8169
70.007,8,130,1.5793
70.003,8,135,1.3611
70.002,8,140,1.2077
69.999,8,145,1.0698
69.997,8,150,0.9631
69.997,8,155,0.8931
69.997,8,160,0.8722
70.001,8,165,0.8637
70.005,8,170,0.8844
69.994,8,175,0.9158
70.007,8,178,0.8868
70.004,8,180,0.868
70.006,8,182,0.8682
70.005,8,185,0.8711
70.007,8,190,0.8797
70.004,8,195,0.8927
70.011,8,200,0.9398
70.009,8,205,1.0425
70.001,8,210,1.1746
70.002,8,215,1.3171
69.998,8,220,1.5413
70,8,225,1.7787
69.997,8,230,2.0453
70.008,8,235,2.3157
69.998,8,240,2.5725
