Temperature (K),Applied field (T),Applied field angle (°),Critical current (A)
77.482,0.1,120,22.8137
77.474,0.1,125,22.8136
77.476,0.1,130,22.8358
77.479,0.1,135,22.8482
77.485,0.1,140,22.8611
77.484,0.1,145,22.9157
77.478,0.1,150,22.9201
77.478,0.1,155,22.9418
77.476,0.1,160,22.9906
77.486,0.1,165,22.9467
77.493,0.1,170,22.9593
77.5,0.1,175,22.9919
77.503,0.1,178,22.9714
77.505,0.1,180,23.0231
77.516,0.1,182,23.0159
77.502,0.1,185,23.0499
77.513,0.1,190,23.0413
77.506,0.1,195,23.1417
77.507,0.1,200,23.1227
77.503,0.1,205,23.144
77.499,0.1,210,23.1451
77.485,0.1,215,23.1115
77.491,0.1,220,23.0506
77.5,0.1,225,22.9149
77.501,0.1,230,22.8299
77.499,0.1,235,22.695
77.507,0.1,240,22.6159
77.489,0.15,-5,21.0886
77.493,0.15,-2,21.1106
77.49,0.15,0,21.1138
77.493,0.15,2,21.086
77.495,0.15,5,21.0926
77.498,0.15,10,21.0779
77.493,0.15,15,21.035
77.494,0.15,20,20.9887
77.494,0.15,25,20.9392
77.491,0.15,30,20.8349
77.493,0.15,35,20.7266
77.49,0.15,40,20.6458
77.49,0.15,45,20.5016
77.496,0.15,50,20.3239
77.496,0.15,55,20.1995
77.497,0.15,60,20.026
77.499,0.15,65,19.8075
77.501,0.15,70,19.7007
77.499,0.15,75,19.6255
77.503,0.15,77,19.6024
77.498,0.15,79,19.6105
77.497,0.15,81,19.6453
77.496,0.15,83,19.698
77.498,0.15,85,19.7406
77.503,0.15,86,19.7131
77.505,0.15,87,19.7636
77.505,0.15,88,19.81
77.504,0.15,89,19.8203
77.504,0.15,90,19.8712
77.502,0.15,91,19.8882
77.506,0.15,92,19.8813
77.507,0.15,93,19.9246
77.51,0.15,94,19.9824
77.511,0.15,95,19.9359
77.515,0.15,97,20.0422
77.509,0.15,99,20.1078
77.508,0.15,101,20.148
77.5,0.15,103,20.209
77.496,0.15,105,20.2596
77.495,0.15,110,20.3856
77.49,0.15,115,20.5278
77.487,0.15,120,20.5961
77.486,0.15,125,20.6695
77.485,0.15,130,20.7416
77.486,0.15,135,20.7416
77.488,0.15,140,20.8097
77.489,0.15,145,20.8249
77.489,0.15,150,20.8413
77.492,0.15,155,20.8937
77.491,0.15,160,20.9211
77.494,0.15,165,20.9133
77.493,0.15,170,20.9164
77.497,0.15,175,20.9349
77.502,0.15,178,20.941
77.501,0.15,180,20.9641
77.504,0.15,182,20.9519
77.505,0.15,185,21.02
77.507,0.15,190,21.0149
77.511,0.15,195,21.0021
77.511,0.15,200,21.0163
77.508,0.15,205,21.0183
77.508,0.15,210,20.9931
77.497,0.15,215,20.9596
77.493,0.15,220,20.8801
77.487,0.15,225,20.8039
77.488,0.15,230,20.6328
77.494,0.15,235,20.4352
77.499,0.15,240,20.2195
77.494,0.2,-5,19.4653
77.496,0.2,-2,19.4466
77.502,0.2,0,19.4687
77.494,0.2,2,19.4685
77.494,0.2,5,19.4406
77.5,0.2,10,19.4186
77.502,0.2,15,19.3896
77.499,0.2,20,19.3753
77.498,0.2,25,19.2837
77.495,0.2,30,19.1929
77.491,0.2,35,19.0777
77.496,0.2,40,18.9666
77.494,0.2,45,18.7873
77.496,0.2,50,18.628
77.499,0.2,55,18.3976
77.496,0.2,60,18.1167
77.499,0.2,65,17.8851
77.495,0.2,70,17.699
77.492,0.2,75,17.608
77.504,0.2,77,17.5797
77.499,0.2,79,17.5856
77.499,0.2,81,17.6055
77.497,0.2,83,17.6834
77.499,0.2,85,17.7202
77.498,0.2,86,17.7268
77.502,0.2,87,17.7549
77.499,0.2,88,17.8332
77.5,0.2,89,17.8832
77.498,0.2,90,17.8714
77.499,0.2,91,17.9453
77.498,0.2,92,17.9949
77.502,0.2,93,18.0111
77.496,0.2,94,18.0665
77.501,0.2,95,18.1221
77.499,0.2,97,18.1565
77.5,0.2,99,18.228
77.502,0.2,101,18.2817
77.502,0.2,103,18.378
77.5,0.2,105,18.4405
77.495,0.2,110,18.6065
77.497,0.2,115,18.755
77.494,0.2,120,18.9145
77.493,0.2,125,18.9819
77.504,0.2,130,19.0722
77.497,0.2,135,19.1697
77.494,0.2,140,19.1949
77.494,0.2,145,19.2531
77.492,0.2,150,19.2485
77.491,0.2,155,19.3294
77.489,0.2,160,19.3624
77.493,0.2,165,19.355
77.498,0.2,170,19.3716
77.501,0.2,175,19.3846
77.503,0.2,178,19.4182
77.503,0.2,180,19.4243
77.503,0.2,182,19.4098
77.514,0.2,185,19.3895
77.506,0.2,190,19.4538
77.512,0.2,195,19.4526
77.513,0.2,200,19.4252
77.506,0.2,205,19.4223
77.502,0.2,210,19.3756
77.499,0.2,215,19.3197
77.491,0.2,220,19.2358
77.495,0.2,225,19.0908
77.491,0.2,230,18.932
77.499,0.2,235,18.7013
77.501,0.2,240,18.4296
77.498,0.3,-5,17.0303
77.498,0.3,-2,16.9978
77.501,0.3,0,17.0298
77.499,0.3,2,16.9889
77.495,0.3,5,17.0296
77.499,0.3,10,16.9886
77.499,0.3,15,16.9318
77.5,0.3,20,16.9199
77.495,0.3,25,16.8604
77.497,0.3,30,16.8094
77.494,0.3,35,16.7089
77.495,0.3,40,16.5637
77.496,0.3,45,16.3868
77.495,0.3,50,16.1662
77.499,0.3,55,15.9326
77.499,0.3,60,15.6197
77.498,0.3,65,15.2281
77.495,0.3,70,14.8754
77.492,0.3,75,14.6343
77.499,0.3,77,14.6136
77.498,0.3,79,14.6146
77.498,0.3,81,14.6933
77.497,0.3,83,14.7852
77.495,0.3,85,14.9125
77.5,0.3,86,14.9066
77.505,0.3,87,14.943
77.504,0.3,88,14.9906
77.498,0.3,89,15.0421
77.5,0.3,90,15.0733
77.501,0.3,91,15.0979
77.501,0.3,92,15.1461
77.499,0.3,93,15.1434
77.5,0.3,94,15.1841
77.501,0.3,95,15.219
77.501,0.3,97,15.3098
77.5,0.3,99,15.4011
77.502,0.3,101,15.5406
77.5,0.3,103,15.6188
77.498,0.3,105,15.7548
77.498,0.3,110,16.0296
77.5,0.3,115,16.2693
77.496,0.3,120,16.4615
77.49,0.3,125,16.6427
77.492,0.3,130,16.7455
77.496,0.3,135,16.7941
77.507,0.3,140,16.8165
77.511,0.3,145,16.8531
77.512,0.3,150,16.9092
77.503,0.3,155,16.9753
77.486,0.3,160,17.0089
77.491,0.3,165,17.012
77.484,0.3,170,17.0077
77.482,0.3,175,17.0496
77.487,0.3,178,17.0306
77.498,0.3,180,17.035
77.499,0.3,182,17.0186
77.499,0.3,185,17.0299
77.5,0.3,190,17.0512
77.499,0.3,195,17.0321
77.501,0.3,200,17.014
77.501,0.3,205,16.9774
77.501,0.3,210,16.9454
77.495,0.3,215,16.8844
77.496,0.3,220,16.7824
77.5,0.3,225,16.6487
77.499,0.3,230,16.4257
77.496,0.3,235,16.2154
77.509,0.3,240,15.9106
77.498,0.5,-5,13.7372
77.498,0.5,-2,13.7272
77.499,0.5,0,13.7498
77.497,0.5,2,13.7522
77.501,0.5,5,13.7277
77.499,0.5,10,13.7417
77.501,0.5,15,13.7419
77.5,0.5,20,13.7303
77.498,0.5,25,13.7261
77.497,0.5,30,13.6754
77.497,0.5,35,13.6242
77.494,0.5,40,13.5656
77.496,0.5,45,13.412
77.497,0.5,50,13.2409
77.498,0.5,55,12.9575
77.499,0.5,60,12.6164
77.501,0.5,65,12.2048
77.498,0.5,70,11.72
77.496,0.5,75,11.2752
77.497,0.5,77,11.194
77.498,0.5,79,11.1906
77.498,0.5,81,11.2801
77.499,0.5,83,11.4693
77.496,0.5,85,11.664
77.501,0.5,86,11.7144
77.503,0.5,87,11.7369
77.503,0.5,88,11.7289
77.504,0.5,89,11.7106
77.504,0.5,90,11.6915
77.495,0.5,91,11.683
77.495,0.5,92,11.6677
77.502,0.5,93,11.7005
77.503,0.5,94,11.7128
77.504,0.5,95,11.7553
77.502,0.5,97,11.8866
77.506,0.5,99,12.0413
77.502,0.5,101,12.2463
77.501,0.5,103,12.4106
77.503,0.5,105,12.5802
77.498,0.5,110,12.945
77.499,0.5,115,13.2308
77.498,0.5,120,13.488
77.49,0.5,125,13.6088
77.487,0.5,130,13.7054
77.494,0.5,135,13.7667
77.507,0.5,140,13.7572
77.51,0.5,145,13.7607
77.507,0.5,150,13.7786
77.501,0.5,155,13.7997
77.493,0.5,160,13.7994
77.49,0.5,165,13.81
77.49,0.5,170,13.7801
77.489,0.5,175,13.7742
77.49,0.5,178,13.7709
77.499,0.5,180,13.7665
77.507,0.5,182,13.7717
77.502,0.5,185,13.7574
77.5,0.5,190,13.7743
77.503,0.5,195,13.8009
77.507,0.5,200,13.7699
77.501,0.5,205,13.8287
77.493,0.5,210,13.7778
77.497,0.5,215,13.7621
77.5,0.5,220,13.6715
77.5,0.5,225,13.5342
77.493,0.5,230,13.4165
77.498,0.5,235,13.1848
77.512,0.5,240,12.8084
77.496,0.7,-5,11.4388
77.499,0.7,-2,11.431
77.497,0.7,0,11.4352
77.5,0.7,2,11.4465
77.5,0.7,5,11.4507
77.5,0.7,10,11.4639
77.502,0.7,15,11.5041
77.502,0.7,20,11.5446
77.498,0.7,25,11.5462
77.5,0.7,30,11.5594
77.496,0.7,35,11.5666
77.498,0.7,40,11.5426
77.498,0.7,45,11.4661
77.497,0.7,50,11.3359
77.499,0.7,55,11.1162
77.499,0.7,60,10.8281
77.498,0.7,65,10.4052
77.497,0.7,70,9.9049
77.499,0.7,75,9.3745
77.498,0.7,77,9.2534
77.498,0.7,79,9.1859
77.5,0.7,81,9.3113
77.499,0.7,83,9.5883
77.497,0.7,85,9.8616
77.501,0.7,86,9.9019
77.505,0.7,87,9.8824
77.506,0.7,88,9.8053
77.499,0.7,89,9.7263
77.498,0.7,90,9.6464
77.5,0.7,91,9.6425
77.499,0.7,92,9.6151
77.504,0.7,93,9.6353
77.501,0.7,94,9.6987
77.502,0.7,95,9.7643
77.507,0.7,97,9.9025
77.507,0.7,99,10.1222
77.504,0.7,101,10.3138
77.504,0.7,103,10.525
77.503,0.7,105,10.704
77.498,0.7,110,11.0977
77.501,0.7,115,11.3896
77.495,0.7,120,11.5341
77.491,0.7,125,11.6464
77.486,0.7,130,11.6962
77.489,0.7,135,11.6968
77.491,0.7,140,11.6302
77.5,0.7,145,11.5977
77.503,0.7,150,11.5648
77.5,0.7,155,11.5354
77.492,0.7,160,11.5315
77.489,0.7,165,11.5245
77.49,0.7,170,11.4694
77.501,0.7,175,11.4541
77.507,0.7,178,11.4484
77.505,0.7,180,11.4699
77.509,0.7,182,11.4833
77.505,0.7,185,11.4565
77.501,0.7,190,11.4952
77.5,0.7,195,11.5652
77.504,0.7,200,11.5454
77.504,0.7,205,11.5816
77.504,0.7,210,11.612
77.499,0.7,215,11.6153
77.502,0.7,220,11.6037
77.499,0.7,225,11.5372
77.502,0.7,230,11.4435
77.502,0.7,235,11.2494
77.509,0.7,240,10.9513
77.494,1,-5,8.9017
77.502,1,-2,8.9079
77.505,1,0,8.8988
77.499,1,2,8.9307
77.498,1,5,8.9384
77.501,1,10,8.9648
77.501,1,15,9.0208
77.505,1,20,9.0582
77.502,1,25,9.1416
77.497,1,30,9.2052
77.498,1,35,9.2689
77.497,1,40,9.2887
77.501,1,45,9.3033
77.497,1,50,9.2516
77.498,1,55,9.165
77.498,1,60,8.9253
77.498,1,65,8.584
77.501,1,70,8.0967
77.499,1,75,7.5846
77.499,1,77,7.3962
77.497,1,79,7.3435
77.498,1,81,7.4162
77.5,1,83,7.7712
77.496,1,85,8.1516
77.503,1,86,8.1872
77.504,1,87,8.0778
77.504,1,88,7.9165
77.503,1,89,7.8132
77.501,1,90,7.7556
77.499,1,91,7.7076
77.499,1,92,7.719
77.498,1,93,7.6971
77.5,1,94,7.7899
77.504,1,95,7.8473
77.503,1,97,8.0527
77.502,1,99,8.257
77.505,1,101,8.4522
77.501,1,103,8.6464
77.498,1,105,8.8139
77.501,1,110,9.1368
77.5,1,115,9.3526
77.499,1,120,9.4359
77.489,1,125,9.4544
77.486,1,130,9.4318
77.488,1,135,9.3914
77.481,1,140,9.3132
77.487,1,145,9.2264
77.495,1,150,9.1504
77.492,1,155,9.0985
77.49,1,160,9.0457
77.499,1,165,8.9724
77.514,1,170,8.934
77.506,1,175,8.934
77.513,1,178,8.9256
77.511,1,180,8.9287
77.508,1,182,8.9359
77.506,1,185,8.9628
77.506,1,190,8.9815
77.509,1,195,9.0199
77.506,1,200,9.0512
77.502,1,205,9.1397
77.505,1,210,9.2205
77.504,1,215,9.2575
